id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
175,126,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+outbound connections,+outbound arrival,+returning departure
176,126,12,Tradeoff,1,900,900,440,720,720,360,990,990,370,2,2,430,375,375,410,690,690,330,1050,1050,390,2,2,390,345,345,,,,
177,94,13,Tradeoff,1,475,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,94,1,SimpleMAUT,6,675,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,127,18,SortedBoolean,,,,,,660,,,735,,,3,,,585,,,,,,,,,4,,,,+duration,,,
180,128,17,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound connections,+returning connections,+connections
181,129,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
182,130,14,SimpleMAUT,,,,1,750,750,1,1200,1200,,,,,,,6,600,600,6,840,840,,,,,,,,,,
183,131,6,SimpleMAUT,,,,9,0,0,9,1425,1425,5,0,0,6,0,0,9,0,0,9,1425,1425,5,0,0,6,0,0,,,,
184,132,2,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+duration,,
185,130,19,SortedBoolean,,,,,450,750,,795,1335,,,,,,,,450,780,,,1170,,,,,,,,,,
186,133,2,SimpleMAUT,3,0,0,7,375,375,,,,,,,,,,7,900,900,,,,,,,,,,,,,
187,133,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,-outbound departure,-outbound arrival,+connections,+duration
188,134,20,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,135,14,SimpleMAUT,,,,7,405,405,,,,5,0,0,5,0,0,5,600,600,,,,,,,,,,,,,
190,136,13,Tradeoff,1,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,137,19,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,136,4,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
193,138,4,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,139,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+returning arrival,+connections,
195,139,1,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
196,140,10,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,+duration,+price
197,140,18,SimpleMAUT,,,,9,0,0,9,360,360,,,,,,,,,,,,,,,,,,,,,,
198,141,2,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,142,19,Tradeoff,1,1075,1075,660,840,840,590,1380,1380,590,3,3,570,660,660,540,810,810,500,1515,1515,540,4,4,540,510,510,,,,
200,143,20,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,144,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,,,
202,145,12,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,146,14,SimpleMAUT,1,0,0,5,0,0,,,,,,,,,,,,,8,360,360,,,,,,,,,,
204,147,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+outbound departure,+connections,+duration
205,148,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning departure,+duration,
206,149,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound departure,+outbound departure,+outbound departure
207,150,20,Tradeoff,1,1000,1000,120,315,315,,,,,,,,,,120,405,405,,,,,,,,,,,,,
208,151,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+outbound departure,+returning departure,+returning arrival
209,152,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+duration,,
210,153,20,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,154,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
212,153,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
213,155,18,SortedBoolean,,,,,420,540,,600,840,,,,,,120,,,,,,,,,,,,,+duration,,,
