scenario,tid,price,outbound_departure,outbound_arrival,outbound_connections,outbound_duration,returning_departure,returning_arrival,returning_connections,returning_duration
6,24,562,735,1100,1,365,1280,1651,1,371
6,25,562,435,730,1,295,675,1130,1,455
6,26,702,815,1059,1,244,895,1289,2,394
6,27,562,735,1100,1,365,675,1130,1,455
6,28,1088,815,1059,1,244,990,1246,1,256
6,29,1111,714,1050,1,336,1070,1513,2,443
6,30,595,525,911,1,386,895,1289,2,394
6,31,562,735,1033,1,298,675,1130,1,455
6,32,562,810,1100,1,290,675,1130,1,455
6,33,541,430,954,1,524,650,1076,1,426
6,34,981,490,810,1,320,1080,1345,1,265
6,35,528,430,954,1,524,895,1289,2,394
6,36,562,735,1033,1,298,650,1076,1,426
6,37,562,735,1100,1,365,650,1076,1,426
6,38,528,430,954,1,524,895,1289,2,394
6,39,1473,815,1059,1,244,505,742,1,237
6,40,730,490,810,1,320,895,1289,2,394
6,41,747,538,980,2,442,1280,1651,1,371
6,42,541,430,954,1,524,1280,1651,1,371
6,43,541,430,954,1,524,1280,1651,1,371
6,44,559,530,954,1,424,675,1130,1,455
6,45,541,430,954,1,524,675,1130,1,455
6,46,559,530,954,1,424,1280,1651,1,371
6,47,1127,714,1050,1,336,855,1197,1,342
6,48,601,525,911,1,386,650,1076,1,426
6,49,1153,810,1100,1,290,520,791,1,271
6,50,546,530,954,1,424,895,1289,2,394
6,51,601,525,911,1,386,1280,1651,1,371
6,52,562,360,730,1,370,675,1130,1,455
6,53,1318,815,1059,1,244,505,742,1,237
6,54,541,430,954,1,524,675,1130,1,455
6,55,956,510,980,2,470,786,1312,2,526
6,56,541,430,954,1,524,650,1076,1,426
6,57,926,815,1059,1,244,990,1246,1,256
6,58,1367,465,725,1,260,505,742,1,237
6,59,601,525,911,1,386,675,1130,1,455
6,60,790,430,954,1,524,607,1008,2,401
7,1,1074,360,1045,2,625,950,1403,2,513
7,2,1074,360,1045,2,625,950,1403,2,513
7,3,1046,360,1045,2,625,713,1169,2,516
7,4,1024,360,1045,2,625,950,1403,2,513
7,5,1169,303,820,2,457,1311,1681,2,430
7,6,1002,360,1045,2,625,950,1488,2,598
7,7,1623,735,1289,2,494,1192,1755,2,623
7,8,1096,360,1045,2,625,713,1169,2,516
7,9,1097,420,1045,2,565,875,1250,2,435
7,10,1896,735,1266,2,471,1192,1755,2,623
7,11,1002,360,1045,2,625,950,1488,2,598
7,12,1105,360,1021,2,601,713,1169,2,516
7,13,1149,660,1175,2,455,1311,1681,2,430
7,14,1046,360,1045,2,625,713,1169,2,516
7,15,1033,405,1150,2,685,1311,1681,2,430
7,16,1107,360,988,2,568,713,1169,2,516
7,17,1074,360,1045,2,625,950,1403,2,513
7,18,1002,360,1045,2,625,950,1488,2,598
7,19,1104,420,1045,2,565,1215,1725,2,570
7,20,1066,360,988,2,568,713,1169,2,516
7,21,1064,360,1021,2,601,713,1169,2,516
7,22,1120,660,1150,2,430,1311,1951,2,700
7,23,1012,735,1289,2,494,1215,1725,2,570
7,24,1045,405,1150,2,685,1311,1951,2,700
7,25,1059,360,1266,2,846,950,1488,2,598
7,26,1107,360,988,2,568,713,1169,2,516
7,27,1066,360,988,2,568,713,1169,2,516
7,28,1322,303,820,2,457,875,1250,2,435
7,29,1623,735,1289,2,494,1061,1480,2,479
7,30,1087,360,1045,2,625,713,1169,2,516
7,31,1062,360,1021,2,601,950,1403,2,513
7,32,1059,360,1266,2,846,950,1488,2,598
7,33,990,360,1021,2,601,950,1488,2,598
7,34,1302,660,1175,2,455,875,1250,2,435
7,35,952,360,1045,2,625,950,1488,2,598
7,36,1044,360,988,2,568,950,1403,2,513
7,37,1064,360,1021,2,601,713,1169,2,516
7,38,952,360,1045,2,625,950,1488,2,598
7,39,1108,660,1150,2,430,1311,1681,2,430
7,40,1117,420,988,2,508,875,1250,2,435
7,41,972,360,988,2,568,950,1488,2,598
7,42,972,360,988,2,568,950,1488,2,598
7,43,1002,360,1045,2,625,950,1488,2,598
7,44,1002,360,1045,2,625,950,1488,2,598
7,45,1002,360,1045,2,625,950,1488,2,598
7,46,1794,735,1266,2,471,1061,1480,2,479
7,47,1096,360,1045,2,625,713,1169,2,516
7,48,1002,360,1045,2,625,950,1488,2,598
7,49,1096,360,1045,2,625,713,1169,2,516
7,50,1074,360,1045,2,625,950,1403,2,513
7,51,1002,360,1045,2,625,950,1488,2,598
7,52,1272,660,1150,2,430,875,1250,2,435
7,53,990,360,1021,2,601,950,1488,2,598
7,54,1222,360,1045,2,625,950,1533,2,643
7,55,1096,360,1045,2,625,713,1169,2,516
7,56,1120,660,1150,2,430,1311,1951,2,700
8,1,748,525,1190,1,485,555,835,1,460
8,2,748,525,1190,1,485,555,835,1,460
8,3,729,1155,2043,2,708,555,835,1,460
8,4,706,750,1457,2,527,555,835,1,460
8,5,905,735,1475,2,560,580,905,1,505
8,6,702,599,1232,1,453,555,835,1,460
8,7,1027,1350,2063,1,533,1160,1543,1,563
8,8,767,750,1333,1,403,595,1008,2,593
